Col#1   Time UTC (hrs) for June 27, 2023
Col#2   Absorption Coefficient at 370nm (1/Mm)
Col#3   Absorption Coefficient at 470nm (1/Mm)
Col#4   Absorption Coefficient at 520nm (1/Mm)
Col#5   Absorption Coefficient at 590nm (1/Mm)
Col#6   Absorption Coefficient at 660nm (1/Mm)
Col#7   Absorption Coefficient at 880nm (1/Mm)
Col#8   Absorption Coefficient at 950nm (1/Mm)

Note: -9999 is a filled value

   8.3333333e-03   1.5860583e+00   1.3754324e+00   1.1227592e+00   1.0603926e+00   8.9047331e-01   7.9383713e-01   6.1045259e-01
   2.5000000e-02   2.0532129e+00   1.3625648e+00   1.1588762e+00   9.3379724e-01   1.0759588e+00   8.2511032e-01   8.5206217e-01
   4.1666667e-02   1.6831973e+00   1.3547307e+00   1.2322161e+00   1.0040113e+00   8.4105915e-01   7.4669063e-01   6.8780994e-01
   5.8333333e-02   1.5769494e+00   1.2064784e+00   1.0689175e+00   7.3436183e-01   8.7839830e-01   6.8079209e-01   5.7320017e-01
   7.5000000e-02   1.7172254e+00   1.4065106e+00   1.1749207e+00   1.0280983e+00   9.1786408e-01   5.6917375e-01   6.6506320e-01
   9.1666667e-02   1.5195158e+00   1.2315856e+00   9.5800656e-01   9.7830749e-01   8.0045378e-01   7.1422648e-01   6.3499486e-01
   1.0833333e-01   1.3922141e+00   1.1330235e+00   1.0390474e+00   1.0090356e+00   6.6813213e-01   5.4177278e-01   5.8202070e-01
   1.2500000e-01  -9.9990000e+03  -9.9990000e+03  -9.9990000e+03  -9.9990000e+03  -9.9990000e+03  -9.9990000e+03  -9.9990000e+03
   1.4166667e-01   1.6226244e+00   1.1944005e+00   1.0475233e+00   1.0107527e+00   8.9605612e-01   7.0200568e-01   5.9649360e-01
   1.5833333e-01   1.2066864e+00   9.5007378e-01   7.6586097e-01   7.7129447e-01   4.0463978e-01   2.1750693e-01   3.6990389e-01
   1.7500000e-01   1.5519391e+00   1.1046506e+00   9.7062242e-01   8.5185456e-01   8.1396532e-01   5.4169422e-01   4.6579021e-01
   1.9166667e-01   1.4105226e+00   1.1084247e+00   8.8073188e-01   8.4603608e-01   7.3479915e-01   5.0638533e-01   5.5463386e-01
   2.0833333e-01   1.5630615e+00   1.2622746e+00   1.0722061e+00   8.4983593e-01   9.2527592e-01   7.3856395e-01   6.2294674e-01
   2.2500000e-01   1.3229010e+00   8.9773375e-01   8.9384311e-01   6.0920924e-01   5.7604259e-01   3.1348553e-01   3.6192220e-01
   2.4166667e-01   1.0179759e+00   8.3551788e-01   7.1734351e-01   8.9454681e-01   5.9820491e-01   3.3115566e-01   2.2028013e-01
   2.5833333e-01  -9.9990000e+03  -9.9990000e+03  -9.9990000e+03  -9.9990000e+03  -9.9990000e+03  -9.9990000e+03  -9.9990000e+03
   2.7500000e-01   1.1237550e+00   1.0164143e+00   1.0448582e+00   8.1218624e-01   5.8766377e-01   4.1926265e-01   3.6809045e-01
   2.9166667e-01   1.1794457e+00   1.1446277e+00   9.0192461e-01   1.0601774e+00   8.4205168e-01   3.9781126e-01   5.1207924e-01
